Country,Region,Happiness Score 21,Freedom To Make Life Choices,Happiness Score 22,Happiness Rating Avg 21-22,Year,Catholic,Christianity,Judaism,Islam,Buddhism,Zoroastrianism,Hinduism,Population
Liberia,Sub-Saharan Africa,4.625,0.735,5.122,4.8735,2010.0,397491.0,3542240.0,0.0,468918.0,0.0,0.0,0.0,4167344.0
Libya,Middle East and North Africa,5.41,0.771,5.33,5.37,2010.0,65091.0,195273.0,0.0,6310833.0,0.0,0.0,0.0,6509106.0
Liechtenstein,,,,,,2010.0,27450.0,31031.0,40.0,1960.0,148.0,0.0,0.0,35760.0
Lithuania,Central and Eastern Europe,6.255,0.773,6.446,6.3505,2010.0,2564874.0,2755107.0,6000.0,2727.0,0.0,0.0,0.0,3321032.0
Luxembourg,Western Europe,7.324,0.907,7.404,7.364,2010.0,445137.0,460637.0,600.0,10139.0,0.0,0.0,0.0,505838.0
Macedonia,,,,,,2010.0,39363.0,1310808.0,0.0,703363.0,0.0,0.0,0.0,2056617.0
Madagascar,Sub-Saharan Africa,4.208,0.552,4.339,4.2735,2010.0,5490037.0,12031782.0,308.0,1123633.0,5135.0,0.0,11912.0,20538780.0
Malawi,Sub-Saharan Africa,3.6,0.78,3.75,3.675,2010.0,3619442.0,10452600.0,278.0,2110934.0,0.0,0.0,32970.0,14460699.0
Malaysia,Southeast Asia,5.384,0.895,5.711,5.5475,2010.0,858334.0,2338758.0,0.0,17263000.0,5433600.0,0.0,1698000.0,28300000.0
Maldives,,,,,,2010.0,887.0,1441.0,0.0,311056.0,1331.0,0.0,0.0,317405.0
Mali,Sub-Saharan Africa,4.723,0.697,4.479,4.601,2010.0,314259.0,407068.0,0.0,12754822.0,0.0,0.0,0.0,13568961.0
Malta,Western Europe,6.602,0.927,6.447,6.5245,2010.0,396394.0,401633.0,60.0,4122.0,0.0,0.0,0.0,412911.0
Marshall Islands,,,,,,2010.0,4910.0,50971.0,0.0,0.0,0.0,0.0,0.0,54566.0
Mauritania,Sub-Saharan Africa,4.227,0.561,4.153,4.1899999999999995,2010.0,4802.0,8718.0,0.0,3212166.0,0.0,0.0,0.0,3311512.0
Mauritius,Sub-Saharan Africa,6.049,0.867,6.071,6.0600000000000005,2010.0,336666.0,416484.0,0.0,221778.0,2251.0,0.0,622238.0,1280511.0
Mexico,Latin America and Caribbean,6.317,0.862,6.128,6.2225,2010.0,92924489.0,108811290.0,67476.0,3760.0,0.0,0.0,0.0,112336538.0
Moldova,Commonwealth of Independent States,5.766,0.822,5.857,5.8115000000000006,2010.0,95500.0,2925500.0,3900.0,128238.0,0.0,0.0,0.0,3562158.0
Monaco,,,,,,2010.0,24789.0,26550.0,500.0,264.0,0.0,0.0,0.0,33105.0
Mongolia,East Asia,5.677,0.708,5.761,5.718999999999999,2010.0,654.0,53170.0,0.0,82380.0,1455388.0,0.0,0.0,2746016.0
Montenegro,Central and Eastern Europe,5.581,0.708,5.547,5.564,2010.0,21624.0,478002.0,0.0,120289.0,119.0,0.0,0.0,629517.0
Morocco,Middle East and North Africa,4.918,0.774,5.06,4.989,2010.0,0.0,317760.0,6000.0,31430015.0,0.0,0.0,0.0,31776052.0
Mozambique,Sub-Saharan Africa,4.794,0.882,5.048,4.920999999999999,2010.0,5315750.0,10340024.0,218.0,5320442.0,1900.0,0.0,35165.0,21841850.0
Myanmar,Southeast Asia,4.426,0.876,4.394,4.41,2010.0,805000.0,4565000.0,25.0,2450000.0,43983776.0,853.0,58808.0,58807968.0
Namibia,Sub-Saharan Africa,4.574,0.719,4.459,4.5165,2010.0,621785.0,1865944.0,2466.0,10200.0,0.0,0.0,3500.0,2144764.0
Nauru,,,,,,2010.0,3179.0,9638.0,0.0,0.0,0.0,0.0,0.0,9937.0
Nepal,South Asia,5.269,0.782,5.377,5.323,2010.0,3349.0,375697.0,0.0,1162370.0,2396099.0,0.0,21551492.0,26494504.0
Netherlands,Western Europe,7.464,0.913,7.415,7.439500000000001,2010.0,4485380.0,9626041.0,25700.0,963526.0,201012.0,299.0,107151.0,16612522.0
New Zealand,North America and ANZ,7.277,0.929,7.2,7.2385,2010.0,673936.0,2361557.0,4696.0,48943.0,91846.0,0.0,86698.0,4367490.0
Nicaragua,Latin America and Caribbean,5.972,0.836,6.165,6.0685,2010.0,3798734.0,5242544.0,0.0,1602.0,0.0,0.0,0.0,5821815.0
Niger,Sub-Saharan Africa,5.074,0.806,5.003,5.0385,2010.0,231233.0,584548.0,0.0,13714412.0,0.0,0.0,0.0,14988429.0
Nigeria,Sub-Saharan Africa,4.759,0.737,4.552,4.6555,2010.0,16911362.0,64726375.0,100.0,78284656.0,8229.0,0.0,0.0,154110416.0
North Cyprus,Western Europe,5.536,0.795,5.467,5.5015,,,,,,,,,
North Korea,,,,,,2010.0,40591.0,405910.0,0.0,0.0,1116257.0,0.0,0.0,24394288.0
North Macedonia,Central and Eastern Europe,5.101,0.751,5.199,5.15,,,,,,,,,
Norway,Western Europe,7.392,0.96,7.365,7.378500000000001,2010.0,67342.0,4103723.0,823.0,99500.0,13450.0,0.0,5203.0,4885082.0
Oman,,,,,,2010.0,49399.0,99499.0,0.0,2678195.0,8900.0,0.0,78000.0,2979954.0
Pakistan,South Asia,4.934,0.726,4.516,4.725,2010.0,772343.0,2863590.0,0.0,161189415.0,96880.0,5382.0,3705824.0,168446576.0
Palau,,,,,,2010.0,12891.0,18391.0,0.0,470.0,182.0,0.0,27.0,21370.0
Palestinian Territories,Middle East and North Africa,4.517,0.653,4.483,4.5,,,,,,,,,
Panama,Latin America and Caribbean,6.18,0.872,6.309,6.2445,2010.0,3361450.0,4166894.0,6590.0,13181.0,16233.0,0.0,593.0,4255000.0
Papua New Guinea,,,,,,2010.0,1859459.0,6611410.0,813.0,1832.0,2865.0,0.0,0.0,6886887.0
Paraguay,Latin America and Caribbean,5.653,0.876,5.578,5.6155,2010.0,5680657.0,6138983.0,3208.0,3873.0,14783.0,0.0,0.0,6455292.0
Peru,Latin America and Caribbean,5.84,0.822,5.559,5.6995000000000005,2010.0,23904351.0,27579681.0,3000.0,6000.0,10200.0,0.0,0.0,29402646.0
Philippines,Southeast Asia,5.88,0.917,5.904,5.8919999999999995,2010.0,76469863.0,84493445.0,300.0,5113771.0,105000.0,0.0,0.0,92097978.0
Poland,Central and Eastern Europe,6.166,0.841,6.123,6.144500000000001,2010.0,33507000.0,34539629.0,1600.0,5100.0,1500.0,0.0,0.0,38182920.0
Portugal,Western Europe,5.929,0.892,6.016,5.9725,2010.0,8780066.0,9123319.0,3192.0,90987.0,59598.0,0.0,6386.0,10642505.0
Qatar,,,,,,2010.0,200000.0,245603.0,0.0,798733.0,36603.0,0.0,450000.0,1699435.0
Romania,Central and Eastern Europe,6.14,0.845,6.477,6.3085,2010.0,978310.0,20899522.0,9500.0,85000.0,0.0,0.0,0.0,21433182.0
Russia,Commonwealth of Independent States,5.477,0.718,5.459,5.468,2010.0,1100798.0,105697556.0,194000.0,16482000.0,0.0,0.0,0.0,142400000.0
Rwanda,Sub-Saharan Africa,3.415,0.897,3.268,3.3415,2010.0,5844606.0,9252868.0,0.0,475843.0,0.0,0.0,517.0,10344436.0
Samoa,,,,,,2010.0,35883.0,180140.0,0.0,61.0,19.0,0.0,0.0,188861.0
San Marino,,,,,,2010.0,27038.0,28088.0,0.0,6.0,0.0,0.0,0.0,32544.0
Sao Tome and Principe,,,,,,2010.0,135219.0,153810.0,0.0,2443.0,0.0,0.0,0.0,162915.0
Saudi Arabia,Middle East and North Africa,6.494,0.877,6.523,6.5085,2010.0,782723.0,782723.0,0.0,24477606.0,0.0,0.0,260907.0,26090784.0
Senegal,Sub-Saharan Africa,5.132,0.695,5.046,5.089,2010.0,400067.0,421345.0,0.0,11346069.0,1631.0,0.0,0.0,12084098.0
Serbia,Central and Eastern Europe,6.078,0.778,6.178,6.128,,,,,,,,,
Seychelles,,,,,,2010.0,69297.0,81121.0,0.0,1459.0,331.0,17.0,2174.0,86617.0
Sierra Leone,Sub-Saharan Africa,3.849,0.717,3.574,3.7115,2010.0,441898.0,1169246.0,0.0,3396544.0,0.0,0.0,3000.0,6139274.0
Singapore,Southeast Asia,6.377,0.927,6.48,6.4285,2010.0,358229.0,930663.0,300.0,727000.0,1688506.0,0.0,258053.0,5112000.0
Slovakia,Central and Eastern Europe,6.331,0.766,6.391,6.361000000000001,2010.0,3370291.0,4101842.0,2445.0,521.0,0.0,0.0,0.0,5434143.0
Slovenia,Central and Eastern Europe,6.461,0.949,6.63,6.5455000000000005,2010.0,1314376.0,1375987.0,205.0,61611.0,0.0,0.0,0.0,2053714.0
Solomon Islands,,,,,,2010.0,101941.0,482878.0,0.0,1700.0,1750.0,0.0,0.0,536533.0
Somalia,,,,,,2010.0,100.0,4333.0,0.0,9283692.0,0.0,0.0,5225.0,9330345.0
South Africa,Sub-Saharan Africa,4.956,0.749,5.194,5.075,2010.0,3551568.0,40488807.0,81536.0,845000.0,159070.0,0.0,750331.0,50022088.0
South Korea,East Asia,5.845,0.672,5.935,5.89,2010.0,5224935.0,13973291.0,101.0,71071.0,11022677.0,0.0,0.0,48875000.0
Spain,Western Europe,6.491,0.761,6.476,6.483499999999999,2010.0,35000000.0,37121529.0,12000.0,1400000.0,10200.0,0.0,0.0,46076496.0
Sri Lanka,South Asia,4.325,0.841,4.362,4.343500000000001,2010.0,1242473.0,1495578.0,0.0,1975865.0,14467488.0,0.0,2565831.0,20590078.0
St. Kitts and Nevis,,,,,,2010.0,12675.0,45525.0,0.0,141.0,0.0,0.0,481.0,50700.0
St. Lucia,,,,,,2010.0,100204.0,151183.0,0.0,164.0,0.0,0.0,492.0,164000.0
St. Vincent and the Grenadines,,,,,,2010.0,63544.0,93496.0,0.0,104.0,0.0,0.0,312.0,104000.0
Sudan,,,,,,2010.0,2013776.0,2867533.0,0.0,28488914.0,0.0,0.0,0.0,40125232.0
Suriname,,,,,,2010.0,129048.0,271680.0,290.0,110936.0,0.0,0.0,155084.0,566000.0
Swaziland,,,,,,2010.0,305149.0,957312.0,0.0,8000.0,0.0,0.0,1855.0,1220594.0
Sweden,Western Europe,7.363,0.945,7.384,7.3735,2010.0,187580.0,7133814.0,19781.0,562741.0,0.0,0.0,0.0,9379022.0
Switzerland,Western Europe,7.571,0.919,7.512,7.541499999999999,2010.0,3710000.0,6303993.0,17500.0,322000.0,25431.0,0.0,24336.0,7825122.0
Syria,,,,,,2010.0,378443.0,1530971.0,0.0,18372466.0,0.0,0.0,0.0,20368588.0
Taiwan,,,,,,2010.0,310192.0,1231401.0,100.0,102000.0,5710455.0,0.0,0.0,22770000.0
Taiwan Province of China,East Asia,6.584,0.784,6.512,6.548,,,,,,,,,
Tajikistan,Commonwealth of Independent States,5.466,0.832,5.377,5.4215,2010.0,0.0,150000.0,2000.0,6692802.0,5600.0,0.0,0.0,7436448.0
Tanzania,Sub-Saharan Africa,3.623,0.833,3.702,3.6625,2010.0,9448823.0,20574501.0,0.0,15505201.0,9777.0,130.0,322500.0,43070004.0
Thailand,Southeast Asia,5.985,0.884,5.891,5.938000000000001,2010.0,172023.0,403998.0,200.0,6733346.0,58580120.0,0.0,56000.0,67333472.0
Togo,Sub-Saharan Africa,4.107,0.619,4.112,4.109500000000001,2010.0,1631708.0,2797212.0,0.0,815854.0,0.0,0.0,0.0,5827529.0
Tonga,,,,,,2010.0,13626.0,98745.0,0.0,0.0,126.0,0.0,105.0,104817.0
Trinidad and Tobago,,,,,,2010.0,285670.0,729270.0,0.0,65700.0,0.0,0.0,240100.0,1305000.0
Tunisia,Middle East and North Africa,4.596,0.656,4.516,4.556,2010.0,31646.0,37346.0,1500.0,10443506.0,0.0,0.0,0.0,10548997.0
Turkey,Middle East and North Africa,4.948,0.576,4.744,4.846,2010.0,35747.0,320277.0,15000.0,75699756.0,0.0,0.0,0.0,76787632.0
Turkmenistan,Commonwealth of Independent States,5.066,0.877,5.474,5.27,2010.0,0.0,505440.0,700.0,4998243.0,722.0,0.0,0.0,5616004.0
Tuvalu,,,,,,2010.0,100.0,9764.0,0.0,10.0,0.0,0.0,0.0,10067.0
Uganda,Sub-Saharan Africa,4.636,0.709,4.603,4.6195,2010.0,12450000.0,25921856.0,2000.0,3734278.0,2005.0,0.0,182000.0,31118996.0
Ukraine,Commonwealth of Independent States,4.875,0.724,5.084,4.9795,2010.0,184021.0,39196664.0,67000.0,456000.0,46005.0,0.0,0.0,46005476.0
United Arab Emirates,Middle East and North Africa,6.561,0.932,6.576,6.5685,2010.0,185228.0,445461.0,0.0,4208337.0,22000.0,0.0,1387654.0,6236650.0
United Kingdom,Western Europe,7.064,0.859,6.943,7.0035,2010.0,4409825.0,38957273.0,263000.0,2700000.0,248827.0,4105.0,817000.0,62206876.0
United States,North America and ANZ,6.951,0.837,6.977,6.964,,,,,,,,,
United States of America,,,,,,2010.0,78397889.0,233111307.0,5942248.0,2814750.0,3410236.0,1644887.0,1797698.0,312750000.0
Uruguay,Latin America and Caribbean,6.431,0.896,6.474,6.452500000000001,2010.0,1580995.0,2746709.0,10070.0,1015.0,32.0,0.0,0.0,3356679.0
Uzbekistan,Commonwealth of Independent States,6.179,0.97,6.063,6.121,2010.0,0.0,1408027.0,4200.0,26189329.0,0.0,0.0,0.0,28160570.0
Vanuatu,,,,,,2010.0,28968.0,205190.0,0.0,0.0,476.0,0.0,0.0,241400.0
Venezuela,Latin America and Caribbean,4.892,0.615,4.925,4.9085,2010.0,23067200.0,27392300.0,16515.0,29864.0,12177.0,0.0,0.0,28834000.0
Vietnam,Southeast Asia,5.411,0.94,5.485,5.448,2010.0,7033441.0,8004439.0,0.0,93736.0,43079830.0,0.0,50000.0,87918024.0
Yemen,Middle East and North Africa,3.658,0.602,4.197,3.9275,2010.0,0.0,0.0,0.0,23369328.0,0.0,0.0,0.0,23605382.0
Yugoslavia,,,,,,2010.0,362228.0,6652741.0,586.0,226117.0,0.0,0.0,0.0,7292990.0
Zambia,Sub-Saharan Africa,4.073,0.782,3.76,3.9165,2010.0,4625587.0,11344499.0,1682.0,71124.0,3912.0,0.0,65198.0,13039656.0
Zimbabwe,Sub-Saharan Africa,3.145,0.677,2.995,3.0700000000000003,2010.0,2305000.0,9961179.0,11326.0,130448.0,182.0,0.0,18005.0,12165294.0
